Date,Symbol,SecurityName,ClientName,Buy/Sell,QuantityTraded,TradePrice/Wght.Avg.Price,Remarks
25-JUN-2026,MHLXMIRU,Mahalaxmi Rubtech Limited,NEO APEX VENTURE LLP,BUY,198,122.80,-
25-JUN-2026,MHLXMIRU,Mahalaxmi Rubtech Limited,NEO APEX VENTURE LLP,SELL,"90,304",115.81,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,ARIHANT CAPITAL MARKETS LIMITED,SELL,"1,52,25,969",14.20,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,ARIHANT CAPITAL MARKETS LIMITED,BUY,"1,72,83,318",14.20,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,HRTI PRIVATE LIMITED,SELL,"56,89,285",14.21,-
25-JUN-2026,MOTISONS,Motisons Jewellers Ltd,HRTI PRIVATE LIMITED,BUY,"58,44,913",14.29,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,CHANAKYA OPPORTUNITIES FUND I,SELL,"3,64,807",41.88,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,SACHIN GOVINDLAL MODI,SELL,"1,98,384",42.32,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,SACHIN GOVINDLAL MODI,BUY,"2,98,342",42.23,-
25-JUN-2026,NARMADA,Narmada Agrobase Limited,VISTA AXIS VCC-QUANT FUND,SELL,"2,05,000",42.05,-
25-JUN-2026,NRVANDANA,N R Vandana Tex Ind Ltd,BULLPULSE MARKETEDGE PRIVATE LIMITED,BUY,"1,44,000",69.21,-
25-JUN-2026,NRVANDANA,N R Vandana Tex Ind Ltd,PENTATEAM INVENTURE CAPITAL SCHEME I,SELL,"1,32,000",68.66,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,IRAGE BROKING SERVICES LLP,BUY,"1,39,218",299.87,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,IRAGE BROKING SERVICES LLP,SELL,"1,44,141",299.06,-
25-JUN-2026,ONWARDTEC,Onward Technologies Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,"2,52,046",296.48,-
