symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend
GRADIENTE,EQ,3.42,3.42,3.41,3.42,3.26,4.91,587128,20.0210648,N,-,-,4.91,SecLwr20
VIPULLTD,EQ,14.28,15.43,13.97,15.42,14.7,4.9,2260291,342.4340865,N,13-Sep-2024,Annual General Meeting,4.9,SecLwr20
SECURKLOUD,EQ,18.26,18.87,16.8,18.7,17.86,4.7,10759,1.9656692999999998,N,23-Sep-2021,Annual General Meeting,4.7,SecLwr20
SIKKO,EQ,3.63,3.8,3.6,3.8,3.63,4.68,380864,14.168140800000002,N,08-Dec-2025,Bonus 1:1,4.68,SecLwr20
SABEVENTS,BE,8.29,8.74,8.29,8.7,8.33,4.44,7822,0.6797317999999999,N,09-Sep-2024,Annual General Meeting,4.44,SecLwr20
SGL,EQ,9.8,10.2,9.76,10.19,9.76,4.41,8883,0.8945181,N,23-Sep-2024,Annual General Meeting,4.41,SecLwr20
SPCENET,EQ,3.66,3.84,3.6,3.82,3.66,4.37,1046927,39.6785333,N,05-Jun-2026,Interim Dividend - Rs. 0.01 Per Sh,4.37,SecLwr20
UNIINFO,BE,11.21,12.3,11.21,12.3,11.8,4.24,14859,1.8113120999999999,N,20-Sep-2024,Annual General Meeting,4.24,SecLwr20
HAVISHA,EQ,1.27,1.34,1.27,1.32,1.27,3.94,12147,0.157911,N,17-Sep-2024,Annual General Meeting,3.94,SecLwr20
SUBEXLTD,BE,11.5,12.12,11.5,12.0,11.55,3.9,2314323,277.71876,N,29-Jul-2024,Annual General Meeting,3.9,SecLwr20
CCHHL,EQ,12.45,13.1,12.31,12.9,12.42,3.86,48726,6.1882019999999995,N,22-Sep-2023,Annual General Meeting,3.86,SecLwr20
PREMIER,BE,3.05,3.05,2.81,3.05,2.94,3.74,10839,0.3186666,N,23-Sep-2024,Annual General Meeting,3.74,SecLwr20
RRIL,EQ,17.7,18.44,17.01,18.39,17.74,3.66,28974,5.0820396,N,-,-,3.66,SecLwr20
TRU,EQ,5.47,5.59,5.3,5.54,5.35,3.55,41659,2.2579178,N,19-Sep-2024,Annual General Meeting/Dividend - Re 0.01 Per Share,3.55,SecLwr20
NAUKRI,EQ,1032.0,1167.15,1029.0,1157.95,1025.15,12.95,16707549,188195.5026909,N,24-Jul-2026,Dividend - Rs 3.60 Per Share,12.95,FOSec
SWIGGY,EQ,250.05,267.4,249.99,266.19,248.37,7.17,32937738,86039.95920360001,N,-,-,7.17,FOSec
JUBLFOOD,EQ,439.2,457.4,430.15,455.7,438.25,3.98,10879295,48904.60688399999,N,18-Jul-2025,Dividend - Rs 1.20 Per Share,3.98,FOSec
HAVELLS,EQ,1182.0,1228.9,1177.1,1225.0,1181.5,3.68,1375962,16683.9520386,N,22-May-2026,Dividend - Rs 6 Per Share,3.68,FOSec
PERSISTENT,EQ,4730.0,4901.9,4730.0,4889.0,4715.8,3.67,1301127,62842.612522200005,N,27-Jan-2026,Interim Dividend - Rs 22 Per Share,3.67,FOSec
MPHASIS,EQ,2328.0,2403.0,2313.6,2380.7,2307.2,3.19,1240074,29296.376227800003,N,08-Jul-2026,Dividend - Rs 62 Per Share,3.19,FOSec
HCLTECH,EQ,1135.0,1175.0,1134.0,1170.0,1134.2,3.16,5179529,60246.209516400006,N,24-Apr-2026,Interim Dividend - Rs 24 Per Share,3.16,FOSec
LTM,EQ,3735.0,3884.6,3735.0,3843.7,3727.5,3.12,662446,25485.688756599997,N,25-May-2026,Dividend - Rs 53 Per Share,3.12,FOSec
TECHM,EQ,1398.5,1463.3,1398.5,1447.0,1406.5,2.88,4066916,58826.71986520001,N,03-Jul-2026,Dividend - Rs 36 Per Share,2.88,FOSec
INFY,EQ,1040.6,1087.5,1040.6,1071.9,1042.2,2.85,18866296,202797.5889632,N,10-Jun-2026,Dividend - Rs 25 Per Share,2.85,FOSec
SBILIFE,EQ,1773.0,1848.0,1773.0,1835.0,1787.7,2.65,1702487,31169.8129908,N,06-Mar-2026,Interim Dividend - Rs 2.70 Per Share,2.65,FOSec
NUVAMA,EQ,1869.9,1927.8,1860.1,1914.0,1869.4,2.39,482266,9171.5418816,N,15-May-2026,Interim Dividend - Rs 14 Per Share,2.39,FOSec
TITAN,EQ,4550.0,4655.9,4505.0,4591.2,4484.4,2.38,3385946,155609.613295,N,09-Jul-2026,Dividend - Rs 15 Per Share,2.38,FOSec
ETERNAL,EQ,283.8,291.0,283.55,289.3,283.4,2.08,45305615,130729.3520825,N,-,-,2.08,FOSec
COFORGE,EQ,1482.0,1522.9,1481.9,1511.2,1481.9,1.98,3465445,52225.642328,N,30-Jan-2026,Interim Dividend - Rs 4 Per Share,1.98,FOSec
PAYTM,EQ,1217.0,1251.0,1208.0,1241.9,1218.2,1.95,3663316,45312.6545988,N,-,-,1.95,FOSec
ADANIENSOL,EQ,1637.7,1663.9,1616.0,1654.0,1622.8,1.92,4092032,67221.0372736,N,14-Jun-2024,Annual General Meeting,1.92,FOSec
TCS,EQ,2050.0,2122.7,2049.0,2095.9,2057.6,1.86,4769048,100075.13394639999,N,25-May-2026,Dividend - Rs 31 Per Share,1.86,FOSec
BANKINDIA,EQ,140.5,142.9,139.99,142.35,139.8,1.82,11079712,15726.5432128,N,29-May-2026,Dividend - Rs 4.65 Per Share,1.82,FOSec
RBLBANK,EQ,368.6,376.35,365.4,375.0,368.6,1.74,6606876,24631.0944156,N,08-Sep-2025,Dividend - Re 1 Per Share,1.74,FOSec
SHAREINDIA,EQ,137.99,164.91,137.99,164.91,137.43,20.0,54004222,84289.7896976,N,02-Feb-2026,Interim Dividend - Re 0.40 Per Share,20.0,allSec
ZSARACOM,EQ,11000.0,12404.0,10700.0,12404.0,10337.0,20.0,1477,176.1161507,N,-,-,20.0,allSec
ITDC,EQ,589.6,702.8,586.4,702.8,585.7,19.99,13636321,90500.1715807,N,08-Sep-2025,Dividend - Rs 2.90 Per Share,19.99,allSec
IOLCP,EQ,145.25,173.35,145.25,164.6,144.46,13.94,41176929,68950.7676105,N,17-Feb-2026,Interim Dividend - Re 1 Per Share,13.94,allSec
NAUKRI,EQ,1032.0,1167.15,1029.0,1157.95,1025.15,12.95,16707549,188195.5026909,N,24-Jul-2026,Dividend - Rs 3.60 Per Share,12.95,allSec
KOTIC,EQ,167.0,192.39,167.0,179.99,160.33,12.26,872520,1628.645832,N,-,-,12.26,allSec
DBSTOCKBRO,EQ,35.5,43.23,35.27,40.36,36.03,12.02,658685,275.06685600000003,N,20-Sep-2024,Annual General Meeting,12.02,allSec
SHIVAUM,EQ,400.0,440.9,397.95,440.9,400.85,9.99,124101,497.99249280000004,N,-,-,9.99,allSec
METROGLOBL,EQ,130.25,159.79,130.25,145.0,133.18,8.88,90434,136.1212568,N,-,-,8.88,allSec
SOMATEX,EQ,101.25,107.9,95.0,106.25,98.22,8.18,72083,75.39881799999999,N,27-Aug-2024,Annual General Meeting,8.18,allSec
PWL,EQ,135.1,152.67,133.53,146.1,135.1,8.14,56701910,82076.014725,N,-,-,8.14,allSec
WABAG,EQ,2061.0,2216.8,2052.9,2216.8,2055.3,7.86,1800005,38742.0476165,N,17-Jul-2026,Dividend - Rs 5 Per Sh,7.86,allSec
DHANBANK,EQ,34.0,36.85,33.76,36.35,33.82,7.48,13336879,4791.940624700001,N,27-Dec-2024,Rights 14:25 @ Premium Rs 11/-,7.48,allSec
LANCORHOL,EQ,24.0,25.87,24.0,25.87,24.14,7.17,223991,56.356135599999995,N,16-Sep-2025,Dividend - Rs 0.20 Per Share,7.17,allSec
SWIGGY,EQ,250.05,267.4,249.99,266.19,248.37,7.17,32937738,86039.95920360001,N,-,-,7.17,allSec
RITES,EQ,226.3,244.59,226.3,231.19,216.15,6.96,100658878,238370.28899180001,N,10-Feb-2026,Interim Dividend - Rs 1.90 Per Share,6.96,allSec
CYIENTDLM,EQ,505.25,546.8,505.25,535.0,502.0,6.57,2368760,12566.034924000001,N,20-Jun-2024,Annual General Meeting,6.57,allSec
ASHIMASYN,EQ,14.45,16.4,14.45,15.36,14.43,6.44,489542,76.5154146,N,11-Aug-2022,Annual General Meeting,6.44,allSec
SAPPL,EQ,276.7,284.85,275.55,284.85,267.9,6.33,1300,3.62531,N,-,-,6.33,allSec
GANESHHOU,EQ,835.05,887.8,826.8,853.0,804.15,6.07,2385757,20569.5197026,N,31-Aug-2026,Dividend - Rs 1.50 Per Share,6.07,allSec
