TIMESTAMP,INDEX_NAME,OPEN_INDEX_VAL,CLOSE_INDEX_VAL,HIGH_INDEX_VAL,LOW_INDEX_VAL,PREV_CLOSE,VIX_PTS_CHG,VIX_PERC_CHG
17-APR-2026,INDIA VIX,18.085,17.21,18.47,16.5925,18.085,-0.88,-4.84
20-APR-2026,INDIA VIX,17.205,18.79,19.01,16.48,17.205,1.59,9.21
21-APR-2026,INDIA VIX,18.79,17.53,18.79,17.4525,18.79,-1.26,-6.71
22-APR-2026,INDIA VIX,17.5325,18.3,18.73,17.245,17.5325,0.77,4.38
23-APR-2026,INDIA VIX,18.3,18.59,19.12,17.49,18.3,0.29,1.58
24-APR-2026,INDIA VIX,18.59,19.71,19.895,18.0625,18.59,1.12,6.02
27-APR-2026,INDIA VIX,19.7125,18.38,19.7125,18.27,19.7125,-1.33,-6.76
28-APR-2026,INDIA VIX,18.3775,18.05,18.4075,17.2675,18.3775,-0.33,-1.78
29-APR-2026,INDIA VIX,18.0475,17.44,18.0475,16.75,18.0475,-0.61,-3.37
30-APR-2026,INDIA VIX,17.4375,18.46,19.48,17.185,17.4375,1.02,5.86
04-MAY-2026,INDIA VIX,18.46,18.3,18.875,16.7475,18.46,-0.16,-0.87
05-MAY-2026,INDIA VIX,18.3,17.91,18.8425,17.7125,18.3,-0.39,-2.13
06-MAY-2026,INDIA VIX,17.9075,16.68,18.0775,16.5775,17.9075,-1.23,-6.85
07-MAY-2026,INDIA VIX,16.6775,16.62,17.195,15.1675,16.6775,-0.06,-0.34
08-MAY-2026,INDIA VIX,16.62,16.84,17.425,16.1625,16.62,0.22,1.32
11-MAY-2026,INDIA VIX,16.84,18.55,18.9675,16.84,16.84,1.71,10.15
12-MAY-2026,INDIA VIX,18.5525,19.28,19.46,17.63,18.5525,0.73,3.92
13-MAY-2026,INDIA VIX,19.28,19.43,20.125,18.3575,19.28,0.15,0.78
14-MAY-2026,INDIA VIX,19.425,18.61,19.425,18.3875,19.425,-0.82,-4.2
15-MAY-2026,INDIA VIX,18.6125,18.79,19.0125,17.4225,18.6125,0.18,0.95
18-MAY-2026,INDIA VIX,18.79,19.63,20.0575,17.72,18.79,0.84,4.47
19-MAY-2026,INDIA VIX,19.63,18.68,19.63,18.2675,19.63,-0.95,-4.84
20-MAY-2026,INDIA VIX,18.675,18.44,19.455,18.0575,18.675,-0.24,-1.26
