key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal
THEMATIC INDICES,NIFTY TRANSPORTATION & LOGISTICS,NIFTY TRANS LOGIS,26624.65,-0.2,0.0,26602.45,26706.55,26556.0,26624.85,27025.05,21355.4,46.15,5.23,0.79,13,17,0,8.01,7.15,21-Aug-2026,26614.3,24847.75,24649.55
THEMATIC INDICES,NIFTY50 SHARIAH,NIFTY50 SHARIAH,4282.0,17.4,0.41,4273.9,4289.95,4268.25,4264.6,4982.45,4082.25,23.67,3.87,1.77,5,12,0,-8.3,1.58,21-Aug-2026,4311.5,4215.6,4669.35
THEMATIC INDICES,NIFTY500 SHARIAH,NIFTY500 SHARIAH,7049.85,22.4,0.32,7041.6,7055.4,7036.15,7027.45,7291.95,6162.95,28.66,4.44,1.13,71,127,0,-0.53,3.12,21-Aug-2026,7088.1,6836.3,7087.4
THEMATIC INDICES,NIFTY SME EMERGE,NIFTY SME EMERGE,14619.8,83.55,0.57,14568.75,14634.4,14568.75,14536.25,17223.65,11015.55,22.56,3.7,0.2,,,,-4.56,4.97,21-Aug-2026,14256.4,13928.15,15318.22
THEMATIC INDICES,NIFTY INDIA INTERNET,NIFTY INTERNET,1461.35,1.85,0.13,1455.3,1463.6,1455.3,1459.5,1501.9,1056.45,157.96,7.08,0.2,9,17,1,0.0,12.56,21-Aug-2026,1429.45,1298.3,0.0
THEMATIC INDICES,NIFTY WAVES,NIFTY WAVES,1967.1,15.25,0.78,1965.3,1978.1,1964.4,1951.85,2789.8,1581.05,0,2.58,0.53,9,29,2,-8.4,2.47,21-Aug-2026,1937.1,1919.75,2147.45
THEMATIC INDICES,NIFTY INDIA INFRASTRUCTURE & LOGISTICS,NIFTY INFRALOG,12166.25,17.85,0.15,12162.5,12178.55,12153.1,12148.4,12549.95,9210.4,28.6,4.01,0.8,24,76,0,0.0,1.13,21-Aug-2026,12236.05,12030.2,0.0
THEMATIC INDICES,NIFTY INDIA RAILWAYS PSU,NIFTY RAILWAYSPSU,2848.1,9.55,0.34,2841.35,2862.85,2837.35,2838.55,4005.5,2744.6,22.06,2.82,1.76,4,13,0,-17.45,1.15,21-Aug-2026,2876.8,2815.75,3450.17
THEMATIC INDICES,NIFTY CONGLOMERATE 50,NIFTYCONGLOMERATE,15401.05,18.15,0.12,15391.9,15423.35,15378.3,15382.9,15692.3,12226.8,23.74,3.99,0.97,17,32,1,8.85,4.67,21-Aug-2026,15397.85,14713.7,14149.27
FIXED INCOME INDICES,NIFTY 8-13 YR G-SEC,NIFTY GS 8 13YR,3055.99,1.84,0.06,3054.7,3056.7,3054.7,3054.15,0.0,0.0,0,0,0,,,,4.95,0.42,21-Aug-2026,3062.37,3043.08,2911.96
FIXED INCOME INDICES,NIFTY 10 YR BENCHMARK G-SEC,NIFTY GS 10YR,2674.98,2.55,0.09,2672.93,2676.54,2672.92,2672.43,0.0,0.0,0,0,0,,,,3.81,0.35,21-Aug-2026,2681.33,2665.73,2576.8
FIXED INCOME INDICES,NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),NIFTY GS 10YR CLN,873.48,0.68,0.07,872.79,874.0,872.79,872.8,0.0,0.0,0,0,0,,,,-2.92,-0.22,21-Aug-2026,876.77,875.43,899.71
FIXED INCOME INDICES,NIFTY 4-8 YR G-SEC INDEX,NIFTY GS 4 8YR,3343.61,1.84,0.05,3342.37,3343.61,3342.37,3341.77,0.0,0.0,0,0,0,,,,5.88,0.58,21-Aug-2026,3345.78,3324.18,3157.95
FIXED INCOME INDICES,NIFTY 11-15 YR G-SEC INDEX,NIFTY GS 11 15YR,3386.57,3.44,0.1,3383.77,3387.28,3383.77,3383.13,0.0,0.0,0,0,0,,,,6.33,0.71,21-Aug-2026,3391.71,3362.7,3184.82
FIXED INCOME INDICES,NIFTY 15 YR AND ABOVE G-SEC INDEX,NIFTY GS 15YRPLUS,3573.24,2.26,0.06,3571.71,3575.01,3571.71,3570.98,0.0,0.0,0,0,0,,,,4.51,0.76,21-Aug-2026,3597.23,3546.45,3419.05
FIXED INCOME INDICES,NIFTY COMPOSITE G-SEC INDEX,NIFTY GS COMPSITE,3148.85,2.37,0.07,3147.07,3149.68,3147.07,3146.48,0.0,0.0,0,0,0,,,,5.18,0.55,21-Aug-2026,3157.49,3131.77,2993.76
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2030,BHARATBOND-APR30,1608.09,0.95,0.01,1608.09,1608.09,1608.09,1607.14,0.0,0.0,0,0,0,,,,4.66,0.25,21-Aug-2026,1613.6,1604.12,1536.49
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2031,BHARATBOND-APR31,1462.72,0.85,0.01,1462.72,1462.72,1462.72,1461.87,0.0,0.0,0,0,0,,,,4.45,0.19,21-Aug-2026,1468.58,1459.89,1400.34
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2032,BHARATBOND-APR32,1328.9,0.78,0.01,1328.9,1328.9,1328.9,1328.12,0.0,0.0,0,0,0,,,,4.15,0.05,21-Aug-2026,1334.78,1328.21,1276.0
FIXED INCOME INDICES,NIFTY BHARAT BOND INDEX - APRIL 2033,BHARATBOND-APR33,1288.59,0.76,0.01,1288.59,1288.59,1288.59,1287.83,0.0,0.0,0,0,0,,,,4.03,0.05,21-Aug-2026,1294.99,1287.95,1238.64
